,Gender,age,income,score
0,Male,19,15,39
1,Male,21,15,81
2,Female,20,16,6
3,Female,23,16,77
4,Female,31,17,40
5,Female,22,17,76
6,Female,35,18,6
7,Female,23,18,94
8,Male,64,19,3
9,Female,30,19,72
10,Male,67,19,14
11,Female,35,19,99
12,Female,58,20,15
13,Female,24,20,77
14,Male,37,20,13
15,Male,22,20,79
16,Female,35,21,35
17,Male,20,21,66
18,Male,52,23,29
19,Female,35,23,98
20,Male,35,24,35
21,Male,25,24,73
22,Female,46,25,5
23,Male,31,25,73
24,Female,54,28,14
25,Male,29,28,82
26,Female,45,28,32
27,Male,35,28,61
28,Female,40,29,31
29,Female,23,29,87
30,Male,60,30,4
31,Female,21,30,73
32,Male,53,33,4
33,Male,18,33,92
34,Female,49,33,14
35,Female,21,33,81
36,Female,42,34,17
37,Female,30,34,73
38,Female,36,37,26
39,Female,20,37,75
40,Female,65,38,35
41,Male,24,38,92
42,Male,48,39,36
43,Female,31,39,61
44,Female,49,39,28
45,Female,24,39,65
46,Female,50,40,55
47,Female,27,40,47
48,Female,29,40,42
49,Female,31,40,42
50,Female,49,42,52
51,Male,33,42,60
52,Female,31,43,54
53,Male,59,43,60
54,Female,50,43,45
55,Male,47,43,41
56,Female,51,44,50
57,Male,69,44,46
58,Female,27,46,51
59,Male,53,46,46
60,Male,70,46,56
61,Male,19,46,55
62,Female,67,47,52
63,Female,54,47,59
64,Male,63,48,51
65,Male,18,48,59
66,Female,43,48,50
67,Female,68,48,48
68,Male,19,48,59
69,Female,32,48,47
70,Male,70,49,55
71,Female,47,49,42
72,Female,60,50,49
73,Female,60,50,56
74,Male,59,54,47
75,Male,26,54,54
76,Female,45,54,53
77,Male,40,54,48
78,Female,23,54,52
79,Female,49,54,42
80,Male,57,54,51
81,Male,38,54,55
82,Male,67,54,41
83,Female,46,54,44
84,Female,21,54,57
85,Male,48,54,46
86,Female,55,57,58
87,Female,22,57,55
88,Female,34,58,60
89,Female,50,58,46
90,Female,68,59,55
91,Male,18,59,41
92,Male,48,60,49
93,Female,40,60,40
94,Female,32,60,42
95,Male,24,60,52
96,Female,47,60,47
97,Female,27,60,50
98,Male,48,61,42
99,Male,20,61,49
100,Female,23,62,41
101,Female,49,62,48
102,Male,67,62,59
103,Male,26,62,55
104,Male,49,62,56
105,Female,21,62,42
106,Female,66,63,50
107,Male,54,63,46
108,Male,68,63,43
109,Male,66,63,48
110,Male,65,63,52
111,Female,19,63,54
112,Female,38,64,42
113,Male,19,64,46
114,Female,18,65,48
115,Female,19,65,50
116,Female,63,65,43
117,Female,49,65,59
118,Female,51,67,43
119,Female,50,67,57
120,Male,27,67,56
121,Female,38,67,40
122,Female,40,69,58
123,Male,39,69,91
124,Female,23,70,29
125,Female,31,70,77
126,Male,43,71,35
127,Male,40,71,95
128,Male,59,71,11
129,Male,38,71,75
130,Male,47,71,9
131,Male,39,71,75
132,Female,25,72,34
133,Female,31,72,71
134,Male,20,73,5
135,Female,29,73,88
136,Female,44,73,7
137,Male,32,73,73
138,Male,19,74,10
139,Female,35,74,72
140,Female,57,75,5
141,Male,32,75,93
142,Female,28,76,40
143,Female,32,76,87
144,Male,25,77,12
145,Male,28,77,97
146,Male,48,77,36
147,Female,32,77,74
148,Female,34,78,22
149,Male,34,78,90
150,Male,43,78,17
151,Male,39,78,88
152,Female,44,78,20
153,Female,38,78,76
154,Female,47,78,16
155,Female,27,78,89
156,Male,37,78,1
157,Female,30,78,78
158,Male,34,78,1
159,Female,30,78,73
160,Female,56,79,35
161,Female,29,79,83
162,Male,19,81,5
163,Female,31,81,93
164,Male,50,85,26
165,Female,36,85,75
166,Male,42,86,20
167,Female,33,86,95
168,Female,36,87,27
169,Male,32,87,63
170,Male,40,87,13
171,Male,28,87,75
172,Male,36,87,10
173,Male,36,87,92
174,Female,52,88,13
175,Female,30,88,86
176,Male,58,88,15
177,Male,27,88,69
178,Male,59,93,14
179,Male,35,93,90
180,Female,37,97,32
181,Female,32,97,86
182,Male,46,98,15
183,Female,29,98,88
184,Female,41,99,39
185,Male,30,99,97
186,Female,54,101,24
187,Male,28,101,68
188,Female,41,103,17
189,Female,36,103,85
190,Female,34,103,23
191,Female,32,103,69
192,Male,33,113,8
193,Female,38,113,91
194,Female,47,120,16
195,Female,35,120,79
196,Female,45,126,28
197,Male,32,126,74
198,Male,32,137,18
199,Male,30,137,83
